Date,Open,High,Low,Close,Volume,RSI,Signal,Equity
2023-01-26,9.949999809265137,10.149999618530272,9.399999618530272,9.425000190734863,1555720,76.06383531867567,-1,3023.8806765869676
2023-01-27,9.350000381469728,10.199999809265137,8.949999809265137,9.75,1886880,76.7441917773841,-1,3023.8806765869676
2023-01-30,9.5,10.005000114440918,9.050000190734863,9.100000381469728,2233860,69.63351485937272,0,3023.8806765869676
2023-01-31,9.25,9.899999618530272,9.199999809265137,9.649999618530272,1849220,69.63351182693853,0,3023.8806765869676
2023-02-01,9.600000381469728,11.050000190734863,9.25,10.800000190734863,2604080,73.23944399787902,-1,3023.8806765869676
2023-02-02,11.300000190734863,12.75,11.125,12.050000190734863,4626400,73.11321444340157,-1,3023.8806765869676
2023-02-03,11.199999809265137,12.0600004196167,10.850000381469728,11.050000190734863,2707320,64.5161334270718,0,3023.8806765869676
2023-02-06,10.710000038146973,12.399999618530272,10.649999618530272,11.899999618530272,2944420,62.980772360895784,0,3023.8806765869676
2023-02-07,12.100000381469728,12.449999809265137,10.550000190734863,10.850000381469728,3393800,66.83674189310848,0,3023.8806765869676
2023-02-08,10.649999618530272,11.399999618530272,10.420000076293944,10.75,2283700,63.38798184411914,0,3023.8806765869676
2023-02-09,10.699999809265137,10.800000190734863,8.925000190734863,9.149999618530272,3212180,47.619042813430944,0,3023.8806765869676
2023-02-10,8.975000381469727,9.095000267028809,8.25,8.399999618530273,1966220,42.42424067277404,0,3023.8806765869676
2023-02-13,8.199999809265137,8.350000381469727,7.900000095367432,8.100000381469727,2103460,41.176471688206,0,3023.8806765869676
2023-02-14,8.074999809265137,9.0,7.800000190734863,8.949999809265137,3012260,48.09523485144701,0,3023.8806765869676
2023-02-15,9.199999809265137,10.25,9.0,10.199999809265137,3090600,53.319056941272116,0,3023.8806765869676
2023-02-16,10.0,11.0,9.654999732971191,9.899999618530272,3860620,50.64377531330458,0,3023.8806765869676
2023-02-17,9.600000381469728,10.300000190734863,9.350000381469728,10.050000190734863,2938100,54.2600893409049,0,3023.8806765869676
