Date,Open,High,Low,Close,Volume,SMA_Short,SMA_Long,Signal,Equity
2022-09-21,27.734117904334347,28.15274661271233,27.077632263990026,27.087146759033203,39977300,27.32024574279785,27.550175348917644,-1,6058.200313713282
2022-09-22,27.020548393565637,27.11569153381817,26.678035629242757,26.70657730102539,36092700,26.896862030029297,27.115689595540363,-1,6058.200313713282
2022-09-23,26.54483220553552,26.54483220553552,25.86931941624885,26.183290481567383,43491100,26.444933891296387,26.65900484720866,-1,6058.200313713282
2022-09-26,26.22134808287401,26.35454920086208,25.555349751751304,25.660005569458008,44786400,25.921648025512695,26.18329111735026,-1,6058.200313713282
2022-09-27,26.0691192718696,26.25940554253098,25.3270068086398,25.583890914916992,44121400,25.6219482421875,25.809062321980793,-1,6058.200313713282
2022-09-28,25.555348868692967,25.95494857944029,25.30797744635373,25.812232971191406,40433400,25.6980619430542,25.6853764851888,1,6058.200313713282
2022-09-29,25.47923394683863,25.47923394683863,24.91789146995237,25.09866142272949,41831300,25.45544719696045,25.49826176961263,-1,5890.723157297809
2022-09-30,25.022550869859163,25.27943681606696,24.489751800272444,24.518295288085938,43821000,24.808478355407715,25.143063227335613,-1,5890.723157297809
2022-10-03,25.05109239478481,25.926405990729734,24.803720963897725,25.660005569458008,44096200,25.089150428771973,25.092320760091145,-1,5890.723157297809
2022-10-04,26.09766347986094,26.449690731221,25.77417789959772,26.354549407958984,42427500,26.007277488708496,25.510950088500977,1,5890.723157297809
2022-10-05,26.040578349721315,26.487748739507303,25.58389164995404,26.297462463378903,30120000,26.326005935668945,26.104005813598633,1,5877.963182493774
2022-10-06,26.10717556342188,26.411632125026102,25.688546883863943,25.859804153442383,33985100,26.078633308410645,26.170605341593426,-1,5780.138556414289
2022-10-07,24.898869312934668,25.00352696725266,24.40412634760116,24.470726013183597,57215500,25.16526508331299,25.54266421000163,-1,5780.138556414289
2022-10-10,24.680039060778807,24.72760972763532,23.871325021285752,23.975982666015625,43409300,24.22335433959961,24.768837610880535,-1,5780.138556414289
2022-10-11,23.795209869192025,24.242380288916017,23.49075325876679,23.823753356933597,48134900,23.89986801147461,24.09015401204427,-1,5780.138556414289
2022-10-12,23.833262380174936,24.28043454597076,23.46220617000756,24.09966278076172,39634100,23.961708068847656,23.966466267903645,-1,5780.138556414289
2022-10-13,23.52880907354956,25.53632231354153,23.39560976216964,25.136722564697266,62447000,24.618192672729492,24.35337956746419,1,5780.138556414289
2022-10-14,25.174779561532304,25.33652236554681,24.508781168011385,24.6514949798584,48185400,24.894108772277832,24.62929344177246,1,5668.5614538487425
2022-10-17,25.03206492592475,25.450693666310293,24.89886561454483,25.136722564697266,39416500,24.894108772277832,24.974980036417644,-1,5780.138556414289
2022-10-18,25.441180782684377,25.65049425878857,24.29946843842792,24.613439559936523,51126900,24.875081062316895,24.800552368164062,1,5780.138556414289
2022-10-19,24.489750148446408,24.97497852032001,24.442179486670423,24.73712158203125,33882300,24.675280570983887,24.829094568888348,-1,5809.183632495759
2022-10-20,24.879835890300885,25.64097919719597,24.68955142460546,24.813236236572266,33247700,24.775178909301758,24.72126579284668,1,5809.183632495759
2022-10-21,24.594407513779917,25.73611971629216,24.537322357330403,25.660005569458008,53058700,25.236620903015137,25.07012112935384,1,6007.426155244526
2022-10-24,25.450689968272613,26.14523172627028,25.231862041457607,25.859804153442383,43831600,25.759904861450195,25.44434865315755,1,6054.202265092187
2022-10-25,25.859806316962064,26.221348060438835,25.68854903305565,26.07863426208496,32205300,25.969219207763672,25.866147994995117,1,6105.433965516257
2022-10-26,25.869320450334584,26.449690130817128,25.679034178721185,25.888347625732425,37111100,25.98349094390869,25.942262013753254,1,6060.884757873903
2022-10-27,26.116692131689884,26.24989143429279,24.860805993288405,24.994007110595703,56305100,25.441177368164062,25.653662999471027,-1,5851.505044849909
2022-10-28,26.811234632968954,27.800718562151637,26.50677803937429,27.658004760742188,91695700,26.326005935668945,26.18011983235677,1,5851.505044849909
2022-10-31,27.667519016328484,27.7626621546783,26.68754777632292,27.049091339111328,59507700,27.353548049926758,26.567034403483074,1,5722.679412293536
2022-11-01,27.40111745222958,27.44868992677808,26.535318377194773,26.925403594970703,44418700,26.987247467041016,27.210833231608074,-1,5696.511239097895
2022-11-02,26.89686204083072,27.44869004504039,26.078633622114737,26.08814811706543,51956100,26.506775856018066,26.68754768371582,-1,5696.511239097895
2022-11-03,26.116695437560924,26.525807892299092,25.85029498392955,26.059608459472656,39678200,26.073878288269043,26.357720057169598,-1,5696.511239097895
2022-11-04,26.585136676350324,27.23120282791374,26.43085238695134,27.1926326751709,43051900,26.626120567321777,26.446796417236328,1,5696.511239097895
2022-11-07,27.346917006664487,27.452986306280927,26.893705296545274,27.395130157470703,34389800,27.2938814163208,26.882457097371418,1,5738.931890220179
2022-11-08,27.73263159704661,27.91584490623742,26.932281043272926,27.46263313293457,36258000,27.428881645202637,27.35013198852539,1,5753.072906391578
2022-11-09,27.211915733914605,27.28905787550136,26.536922454833984,26.536922454833984,30544800,26.999777793884277,27.131561915079754,-1,5559.14827449053
